Rk,Date,Team,H/A,Opponent,Result,Win/Loss,Team Points,Opponent Points,Passing_Cmp,Passing_Att,Passing_Pct,Passing_Yds,Passing_TD,Rushing_Att,Rushing_Yds,Rushing_Avg,Rushing_TD,Total Offense_Plays,Total Offense_Yds,Total Offense_Avg,First Downs_Pass,First Downs_Rush,First Downs_Pen,First Downs_Tot,Penalties_No.,Penalties_Yds,Turnovers_Fum,Turnovers_Int,Turnovers_Tot,Season,Custom,WINS,Losses
7,10/15/2022 0:00,Texas,Home,Iowa State,W (24-21),W,24,21,17,26,65.4,172,3,43,191,4.4,0,69,363,5.3,10,12,1,23,4,30,0,0,0,2022,Big 12,1,0
8,10/22/2022 0:00,Texas,Away,Oklahoma State,L (34-41),L,34,41,19,49,38.8,319,2,32,204,6.4,2,81,523,6.5,13,8,0,21,14,119,0,3,3,2022,Big 12,0,1
9,11/5/2022 0:00,Texas,Away,Kansas State,W (34-27),W,34,27,18,31,58.1,197,2,40,269,6.7,2,71,466,6.6,12,7,3,22,7,49,2,0,2,2022,Big 12,1,0
10,11/12/2022 0:00,Texas,Home,TCU,L (10-17),L,10,17,17,39,43.6,171,0,22,28,1.3,0,61,199,3.3,9,3,2,14,7,74,0,1,1,2022,Big 12,0,1
11,11/19/2022 0:00,Texas,Away,Kansas,W (55-14),W,55,14,13,22,59.1,112,1,57,427,7.5,6,79,539,6.8,5,20,3,28,3,20,0,0,0,2022,Big 12,1,0
12,11/25/2022 0:00,Texas,Home,Baylor,W (38-27),W,38,27,12,16,75,194,0,48,208,4.3,5,64,402,6.3,8,14,0,22,5,19,2,0,2,2022,Big 12,1,0
13,12/29/2022 0:00,Texas,N,Washington*,L (20-27),L,20,27,31,47,66,369,1,18,51,2.8,1,65,420,6.5,16,2,1,19,6,45,0,0,0,2022,,0,1
1,9/1/2012 0:00,Oklahoma,Away,UTEP,W (24-7),W,24,7,21,36,58.3,222,2,37,205,5.5,1,73,427,5.8,10,9,0,19,7,55,0,0,0,2012,,1,0
2,9/8/2012 0:00,Oklahoma,Home,Florida A&M,W (69-13),W,69,13,23,33,69.7,313,2,41,349,8.5,8,74,662,8.9,14,17,2,33,8,80,1,1,2,2012,,1,0
3,9/22/2012 0:00,Oklahoma,Home,Kansas State,L (19-24),L,19,24,28,43,65.1,299,1,27,87,3.2,1,70,386,5.5,17,6,1,24,4,25,2,1,3,2012,Big 12,0,1
4,10/6/2012 0:00,Oklahoma,Away,Texas Tech,W (41-20),W,41,20,25,40,62.5,259,2,29,121,4.2,2,69,380,5.5,15,7,0,22,5,42,1,0,1,2012,Big 12,1,0
5,10/13/2012 0:00,Oklahoma,N,Texas,W (63-21),W,63,21,22,39,56.4,334,2,51,343,6.7,6,90,677,7.5,14,15,1,30,8,60,0,1,1,2012,Big 12,1,0
6,10/20/2012 0:00,Oklahoma,Home,Kansas,W (52-7),W,52,7,22,34,64.7,313,3,18,93,5.2,2,52,406,7.8,13,5,0,18,3,15,1,0,1,2012,Big 12,1,0
7,10/27/2012 0:00,Oklahoma,Home,Notre Dame,L (13-30),L,13,30,36,52,69.2,364,0,24,15,0.6,1,76,379,5,21,1,0,22,5,39,0,1,1,2012,,0,1
8,11/3/2012 0:00,Oklahoma,Away,Iowa State,W (35-20),W,35,20,32,45,71.1,405,4,40,188,4.7,1,85,593,7,23,11,0,34,7,71,0,2,2,2012,Big 12,1,0
9,11/10/2012 0:00,Oklahoma,Home,Baylor,W (42-34),W,42,34,25,36,69.4,277,2,40,183,4.6,4,76,460,6.1,15,10,3,28,7,48,1,1,2,2012,Big 12,1,0
10,11/17/2012 0:00,Oklahoma,Away,West Virginia,W (50-49),W,50,49,38,51,74.5,554,6,31,108,3.5,1,82,662,8.1,24,5,1,30,8,76,1,1,2,2012,Big 12,1,0
11,11/24/2012 0:00,Oklahoma,Home,Oklahoma State,W (51-48),W,51,48,47,73,64.4,512,3,30,106,3.5,2,103,618,6,29,11,4,44,3,15,1,1,2,2012,Big 12,1,0
12,12/1/2012 0:00,Oklahoma,Away,TCU,W (24-17),W,24,17,22,40,55,244,2,32,177,5.5,1,72,421,5.8,12,9,1,22,2,25,1,1,2,2012,Big 12,1,0
13,1/4/2013 0:00,Oklahoma,N,Texas A&M*,L (13-41),L,13,41,35,49,71.4,278,1,34,123,3.6,0,83,401,4.8,17,8,2,27,7,47,0,1,1,2013,,0,1
1,8/31/2013 0:00,Oklahoma,Home,Louisiana-Monroe,W (34-0),W,34,0,14,33,42.4,124,3,50,305,6.1,1,83,429,5.2,7,18,0,25,7,78,0,1,1,2013,,1,0
2,9/7/2013 0:00,Oklahoma,Home,West Virginia,W (16-7),W,16,7,10,21,47.6,119,1,57,316,5.5,0,78,435,5.6,4,16,1,21,9,53,2,2,4,2013,Big 12,1,0
3,9/14/2013 0:00,Oklahoma,Home,Tulsa,W (51-20),W,51,20,27,37,73,413,4,44,194,4.4,2,81,607,7.5,15,12,0,27,3,16,0,0,0,2013,,1,0
4,9/28/2013 0:00,Oklahoma,Away,Notre Dame,W (35-21),W,35,21,23,31,74.2,238,2,42,212,5,1,73,450,6.2,9,13,3,25,4,31,0,0,0,2013,,1,0
5,10/5/2013 0:00,Oklahoma,Home,TCU,W (20-17),W,20,17,20,31,64.5,152,0,38,203,5.3,2,69,355,5.1,10,10,0,20,3,35,1,0,1,2013,Big 12,1,0
6,10/12/2013 0:00,Oklahoma,N,Texas,L (20-36),L,20,36,12,26,46.2,133,0,33,130,3.9,1,59,263,4.5,4,9,0,13,8,63,0,2,2,2013,Big 12,0,1
7,10/19/2013 0:00,Oklahoma,Away,Kansas,W (34-19),W,34,19,16,26,61.5,180,3,45,235,5.2,1,71,415,5.8,8,11,3,22,7,50,1,1,2,2013,Big 12,1,0
8,10/26/2013 0:00,Oklahoma,Home,Texas Tech,W (38-30),W,38,30,14,22,63.6,249,2,50,277,5.5,3,72,526,7.3,10,15,0,25,6,40,1,0,1,2013,Big 12,1,0
9,11/7/2013 0:00,Oklahoma,Away,Baylor,L (12-41),L,12,41,15,35,42.9,150,1,34,87,2.6,0,69,237,3.4,8,2,6,16,13,97,0,2,2,2013,Big 12,0,1
10,11/16/2013 0:00,Oklahoma,Home,Iowa State,W (48-10),W,48,10,12,23,52.2,118,1,44,405,9.2,4,67,523,7.8,4,15,2,21,6,54,0,0,0,2013,Big 12,1,0
11,11/23/2013 0:00,Oklahoma,Away,Kansas State,W (41-31),W,41,31,14,21,66.7,171,1,52,301,5.8,3,73,472,6.5,7,15,0,22,5,52,0,1,1,2013,Big 12,1,0
12,12/7/2013 0:00,Oklahoma,Away,Oklahoma State,W (33-24),W,33,24,16,33,48.5,193,2,40,165,4.1,0,73,358,4.9,6,11,2,19,5,59,0,1,1,2013,Big 12,1,0
13,1/2/2014 0:00,Oklahoma,N,Alabama*,W (45-31),W,45,31,32,44,72.7,348,4,30,81,2.7,1,74,429,5.8,14,8,2,24,11,95,0,1,1,2014,,1,0
1,8/30/2014 0:00,Oklahoma,Home,Louisiana Tech,W (48-16),W,48,16,19,34,55.9,253,1,40,183,4.6,5,74,436,5.9,13,11,2,26,3,34,1,1,2,2014,,1,0
2,9/6/2014 0:00,Oklahoma,Away,Tulsa,W (52-7),W,52,7,24,38,63.2,319,2,31,261,8.4,4,69,580,8.4,14,9,3,26,5,60,0,0,0,2014,,1,0
3,9/13/2014 0:00,Oklahoma,Home,Tennessee,W (34-10),W,34,10,20,33,60.6,308,1,34,146,4.3,2,67,454,6.8,14,7,0,21,5,41,1,1,2,2014,,1,0
4,9/20/2014 0:00,Oklahoma,Away,West Virginia,W (45-33),W,45,33,17,30,56.7,209,1,46,301,6.5,4,76,510,6.7,10,13,1,24,8,82,0,1,1,2014,Big 12,1,0
5,10/4/2014 0:00,Oklahoma,Away,TCU,L (33-37),L,33,37,14,36,38.9,309,1,42,152,3.6,3,78,461,5.9,8,10,1,19,7,73,0,2,2,2014,Big 12,0,1
6,10/11/2014 0:00,Oklahoma,N,Texas,W (31-26),W,31,26,12,20,60,129,1,30,103,3.4,1,50,232,4.6,6,5,0,11,3,20,0,0,0,2014,Big 12,1,0
7,10/18/2014 0:00,Oklahoma,Home,Kansas State,L (30-31),L,30,31,28,36,77.8,335,3,42,198,4.7,1,78,533,6.8,15,14,1,30,3,19,0,2,2,2014,Big 12,0,1
8,11/1/2014 0:00,Oklahoma,Away,Iowa State,W (59-14),W,59,14,23,43,53.5,241,3,59,510,8.6,5,102,751,7.4,11,29,1,41,5,60,0,3,3,2014,Big 12,1,0
9,11/8/2014 0:00,Oklahoma,Home,Baylor,L (14-48),L,14,48,13,29,44.8,148,2,33,171,5.2,0,62,319,5.1,5,8,0,13,7,59,0,1,1,2014,Big 12,0,1
10,11/15/2014 0:00,Oklahoma,Away,Texas Tech,W (42-30),W,42,30,10,20,50,133,1,51,384,7.5,5,71,517,7.3,6,18,1,25,9,67,0,3,3,2014,Big 12,1,0
11,11/22/2014 0:00,Oklahoma,Home,Kansas,W (44-7),W,44,7,3,13,23.1,39,0,55,510,9.3,5,68,549,8.1,3,15,1,19,4,25,2,0,2,2014,Big 12,1,0
12,12/6/2014 0:00,Oklahoma,Home,Oklahoma State,L (35-38),L,35,38,10,17,58.8,120,1,63,304,4.8,4,80,424,5.3,7,11,3,21,3,28,1,0,1,2014,Big 12,0,1
13,12/29/2014 0:00,Oklahoma,N,Clemson*,L (6-40),L,6,40,17,37,45.9,103,0,31,172,5.5,1,68,275,4,6,11,0,17,8,80,2,3,5,2014,,0,1
1,9/5/2015 0:00,Oklahoma,Home,Akron,W (41-3),W,41,3,28,42,66.7,439,3,33,100,3,2,75,539,7.2,18,5,3,26,9,90,1,1,2,2015,,1,0
2,9/12/2015 0:00,Oklahoma,Away,Tennessee,W (31-24),W,31,24,19,39,48.7,187,3,48,161,3.4,1,87,348,4,7,9,4,20,9,67,0,2,2,2015,,1,0
3,9/19/2015 0:00,Oklahoma,Home,Tulsa,W (52-38),W,52,38,32,38,84.2,487,4,47,286,6.1,3,85,773,9.1,22,14,3,39,8,85,2,0,2,2015,,1,0
4,10/3/2015 0:00,Oklahoma,Home,West Virginia,W (44-24),W,44,24,14,25,56,320,3,33,107,3.2,1,58,427,7.4,11,3,2,16,12,134,1,1,2,2015,Big 12,1,0
5,10/10/2015 0:00,Oklahoma,N,Texas,L (17-24),L,17,24,20,28,71.4,211,1,37,67,1.8,1,65,278,4.3,12,6,3,21,5,45,1,0,1,2015,Big 12,0,1
6,10/17/2015 0:00,Oklahoma,Away,Kansas State,W (55-0),W,55,0,25,32,78.1,336,5,52,232,4.5,1,84,568,6.8,18,12,0,30,3,24,0,0,0,2015,Big 12,1,0
7,10/24/2015 0:00,Oklahoma,Home,Texas Tech,W (63-27),W,63,27,15,22,68.2,212,2,57,405,7.1,7,79,617,7.8,9,24,2,35,3,34,1,1,2,2015,Big 12,1,0
8,10/31/2015 0:00,Oklahoma,Away,Kansas,W (62-7),W,62,7,33,41,80.5,445,5,41,265,6.5,3,82,710,8.7,19,11,5,35,4,40,2,0,2,2015,Big 12,1,0
9,11/7/2015 0:00,Oklahoma,Home,Iowa State,W (52-16),W,52,16,25,33,75.8,405,4,39,279,7.2,3,72,684,9.5,14,13,1,28,2,10,1,0,1,2015,Big 12,1,0
10,11/14/2015 0:00,Oklahoma,Away,Baylor,W (44-34),W,44,34,24,34,70.6,270,3,53,241,4.5,3,87,511,5.9,13,12,3,28,8,83,0,1,1,2015,Big 12,1,0
11,11/21/2015 0:00,Oklahoma,Home,TCU,W (30-29),W,30,29,14,37,37.8,203,2,59,333,5.6,1,96,536,5.6,10,17,1,28,8,90,0,1,1,2015,Big 12,1,0
12,11/28/2015 0:00,Oklahoma,Away,Oklahoma State,W (58-23),W,58,23,17,25,68,180,2,42,344,8.2,5,67,524,7.8,11,11,1,23,4,33,0,0,0,2015,Big 12,1,0
13,12/31/2015 0:00,Oklahoma,N,Clemson*,L (17-37),L,17,37,26,43,60.5,311,1,33,67,2,1,76,378,5,16,6,2,24,5,65,0,2,2,2015,,0,1
1,9/3/2016 0:00,Oklahoma,N,Houston,L (23-33),L,23,33,24,34,70.6,323,2,26,70,2.7,1,60,393,6.6,11,5,1,17,5,66,2,0,2,2016,,0,1
2,9/10/2016 0:00,Oklahoma,Home,Louisiana-Monroe,W (59-17),W,59,17,26,35,74.3,352,5,46,288,6.3,3,81,640,7.9,18,11,1,30,4,30,1,0,1,2016,,1,0
3,9/17/2016 0:00,Oklahoma,Home,Ohio State,L (24-45),L,24,45,17,32,53.1,226,2,35,178,5.1,0,67,404,6,9,9,1,19,4,28,0,2,2,2016,,0,1
4,10/1/2016 0:00,Oklahoma,Away,TCU,W (52-46),W,52,46,23,30,76.7,274,2,48,260,5.4,5,78,534,6.8,11,10,2,23,5,54,2,0,2,2016,Big 12,1,0
5,10/8/2016 0:00,Oklahoma,N,Texas,W (45-40),W,45,40,22,31,71,390,3,55,282,5.1,3,86,672,7.8,14,14,0,28,5,55,2,2,4,2016,Big 12,1,0
6,10/15/2016 0:00,Oklahoma,Home,Kansas State,W (38-17),W,38,17,26,32,81.3,372,5,33,138,4.2,0,65,510,7.8,15,9,0,24,3,35,0,1,1,2016,Big 12,1,0
7,10/22/2016 0:00,Oklahoma,Away,Texas Tech,W (66-59),W,66,59,27,36,75,545,7,40,309,7.7,2,76,854,11.2,21,12,0,33,6,60,0,0,0,2016,Big 12,1,0
8,10/29/2016 0:00,Oklahoma,Home,Kansas,W (56-3),W,56,3,20,33,60.6,271,4,38,267,7,2,71,538,7.6,14,9,1,24,6,45,1,0,1,2016,Big 12,1,0
9,11/3/2016 0:00,Oklahoma,Away,Iowa State,W (34-24),W,34,24,25,34,73.5,328,4,42,149,3.5,0,76,477,6.3,16,11,1,28,5,50,0,1,1,2016,Big 12,1,0
10,11/12/2016 0:00,Oklahoma,Home,Baylor,W (45-24),W,45,24,20,25,80,300,2,50,253,5.1,4,75,553,7.4,14,9,0,23,3,30,0,1,1,2016,Big 12,1,0
11,11/19/2016 0:00,Oklahoma,Away,West Virginia,W (56-28),W,56,28,9,15,60,169,2,64,316,4.9,5,79,485,6.1,7,15,5,27,6,72,0,1,1,2016,Big 12,1,0
12,12/3/2016 0:00,Oklahoma,Home,Oklahoma State,W (38-20),W,38,20,13,19,68.4,288,3,52,341,6.6,2,71,629,8.9,12,11,2,25,4,54,1,0,1,2016,Big 12,1,0
13,1/2/2017 0:00,Oklahoma,N,Auburn*,W (35-19),W,35,19,19,28,67.9,296,2,43,228,5.3,3,71,524,7.4,14,11,3,28,10,100,0,0,0,2017,,1,0
1,9/2/2017 0:00,Oklahoma,Home,UTEP,W (56-7),W,56,7,32,36,88.9,496,4,38,180,4.7,4,74,676,9.1,23,14,1,35,5,60,0,0,0,2017,,1,0
2,9/9/2017 0:00,Oklahoma,Away,Ohio State,W (31-16),W,31,16,27,35,77.1,386,3,37,104,2.8,1,72,490,6.8,17,6,4,27,3,26,2,0,2,2017,,1,0
3,9/16/2017 0:00,Oklahoma,Home,Tulane,W (56-14),W,56,14,20,30,66.7,434,5,32,197,6.2,2,62,631,10.2,15,8,1,24,4,37,2,0,2,2017,,1,0
4,9/23/2017 0:00,Oklahoma,Away,Baylor,W (49-41),W,49,41,13,19,68.4,283,3,40,342,8.6,4,59,625,10.6,8,12,0,20,10,105,1,0,1,2017,Big 12,1,0
5,10/7/2017 0:00,Oklahoma,Home,Iowa State,L (31-38),L,31,38,25,34,73.5,323,2,35,190,5.4,2,69,513,7.4,18,10,0,28,6,59,1,0,1,2017,Big 12,0,1
6,10/14/2017 0:00,Oklahoma,Away,Texas,W (29-24),W,29,24,18,28,64.3,344,2,39,174,4.5,1,67,518,7.7,8,12,0,20,8,81,0,1,1,2017,Big 12,1,0
7,10/21/2017 0:00,Oklahoma,Away,Kansas State,W (42-35),W,42,35,32,41,78,410,2,38,209,5.5,3,79,619,7.8,18,10,0,28,5,37,1,1,2,2017,Big 12,1,0
8,10/28/2017 0:00,Oklahoma,Home,Texas Tech,W (49-27),W,49,27,22,34,64.7,281,4,47,336,7.1,3,81,617,7.6,15,14,2,31,7,94,0,1,1,2017,Big 12,1,0
9,11/4/2017 0:00,Oklahoma,Away,Oklahoma State,W (62-52),W,62,52,24,36,66.7,598,5,40,187,4.7,3,76,785,10.3,19,10,1,30,9,81,0,2,2,2017,Big 12,1,0
10,11/11/2017 0:00,Oklahoma,Home,TCU,W (38-20),W,38,20,18,27,66.7,333,3,41,200,4.9,2,68,533,7.8,12,8,1,21,4,29,0,0,0,2017,Big 12,1,0
11,11/18/2017 0:00,Oklahoma,Away,Kansas,W (41-3),W,41,3,23,35,65.7,312,3,36,157,4.4,2,71,469,6.6,15,6,3,24,8,63,0,0,0,2017,Big 12,1,0
12,11/25/2017 0:00,Oklahoma,Home,West Virginia,W (59-31),W,59,31,16,19,84.2,333,4,35,313,8.9,4,54,646,12,13,12,2,27,9,102,0,0,0,2017,Big 12,1,0
13,12/2/2017 0:00,Oklahoma,Home,TCU,W (41-17),W,41,17,15,23,65.2,243,4,43,218,5.1,0,66,461,7,10,10,2,22,3,30,0,0,0,2017,Big 12,1,0
14,1/1/2018 0:00,Oklahoma,N,Georgia*,L (48-54),L,48,54,24,36,66.7,289,3,45,242,5.4,2,81,531,6.6,11,11,2,24,1,5,0,1,1,2018,,0,1
1,9/1/2018 0:00,Oklahoma,Home,Florida Atlantic,W (63-14),W,63,14,19,23,82.6,334,3,39,316,8.1,5,62,650,10.5,13,12,1,26,6,70,0,0,0,2018,,1,0
2,9/8/2018 0:00,Oklahoma,Home,UCLA,W (49-21),W,49,21,19,35,54.3,306,3,35,179,5.1,4,70,485,6.9,14,9,4,27,6,40,0,1,1,2018,,1,0
3,9/15/2018 0:00,Oklahoma,Away,Iowa State,W (37-27),W,37,27,21,29,72.4,348,3,39,171,4.4,1,68,519,7.6,13,10,1,24,5,60,1,0,1,2018,Big 12,1,0
4,9/22/2018 0:00,Oklahoma,Home,Army,W (28-21),W,28,21,11,15,73.3,165,3,25,190,7.6,1,40,355,8.9,8,10,1,19,4,20,0,1,1,2018,,1,0
5,9/29/2018 0:00,Oklahoma,Home,Baylor,W (66-33),W,66,33,17,23,73.9,432,6,31,175,5.6,3,54,607,11.2,12,8,2,22,7,80,0,0,0,2018,Big 12,1,0
6,10/6/2018 0:00,Oklahoma,N,Texas,L (45-48),L,45,48,20,27,74.1,310,4,31,222,7.2,2,58,532,9.2,12,9,0,21,7,73,2,1,3,2018,Big 12,0,1
7,10/20/2018 0:00,Oklahoma,Away,TCU,W (52-27),W,52,27,19,25,76,213,4,47,323,6.9,3,72,536,7.4,11,15,0,26,8,60,0,0,0,2018,Big 12,1,0
8,10/27/2018 0:00,Oklahoma,Home,Kansas State,W (51-14),W,51,14,22,29,75.9,380,3,39,322,8.3,3,68,702,10.3,15,15,2,32,5,69,0,0,0,2018,Big 12,1,0
9,11/3/2018 0:00,Oklahoma,Away,Texas Tech,W (51-46),W,51,46,20,35,57.1,360,3,44,323,7.3,4,79,683,8.6,15,16,1,32,10,113,0,2,2,2018,Big 12,1,0
10,11/10/2018 0:00,Oklahoma,Home,Oklahoma State,W (48-47),W,48,47,21,30,70,349,1,47,353,7.5,5,77,702,9.1,15,14,0,29,8,70,0,0,0,2018,Big 12,1,0
11,11/17/2018 0:00,Oklahoma,Home,Kansas,W (55-40),W,55,40,21,32,65.6,272,2,38,296,7.8,5,70,568,8.1,15,14,2,31,2,25,1,1,2,2018,Big 12,1,0
12,11/23/2018 0:00,Oklahoma,Away,West Virginia,W (59-56),W,59,56,20,27,74.1,364,3,35,308,8.8,3,62,672,10.8,14,11,0,25,6,60,1,1,2,2018,Big 12,1,0
13,12/1/2018 0:00,Oklahoma,N,Texas,W (39-27),W,39,27,25,34,73.5,379,3,40,129,3.2,1,74,508,6.9,16,8,5,29,5,60,1,0,1,2018,Big 12,1,0
14,12/29/2018 0:00,Oklahoma,N,Alabama*,L (34-45),L,34,45,19,37,51.4,308,2,32,163,5.1,2,69,471,6.8,15,9,2,26,7,55,0,0,0,2018,,0,1
1,9/1/2019 0:00,Oklahoma,Home,Houston,W (49-31),W,49,31,20,24,83.3,332,3,37,354,9.6,4,61,686,11.2,14,18,1,30,7,94,2,0,2,2019,,1,0
2,9/7/2019 0:00,Oklahoma,Home,South Dakota,W (70-14),W,70,14,24,30,80,423,6,39,310,7.9,3,69,733,10.6,16,12,0,28,12,96,0,0,0,2019,,1,0
3,9/14/2019 0:00,Oklahoma,Away,UCLA,W (48-14),W,48,14,16,23,69.6,302,3,41,309,7.5,3,64,611,9.5,13,12,1,26,5,68,0,0,0,2019,,1,0
4,9/28/2019 0:00,Oklahoma,Home,Texas Tech,W (55-16),W,55,16,23,34,67.6,443,3,29,203,7,4,63,646,10.3,14,8,2,24,9,114,0,1,1,2019,Big 12,1,0
5,10/5/2019 0:00,Oklahoma,Away,Kansas,W (45-20),W,45,20,20,29,69,277,2,37,268,7.2,4,66,545,8.3,15,11,3,29,8,89,0,1,1,2019,Big 12,1,0
6,10/12/2019 0:00,Oklahoma,N,Texas,W (34-27),W,34,27,16,28,57.1,235,3,38,276,7.3,1,66,511,7.7,8,12,1,21,7,84,1,1,2,2019,Big 12,1,0
7,10/19/2019 0:00,Oklahoma,Home,West Virginia,W (52-14),W,52,14,18,21,85.7,363,3,38,197,5.2,3,59,560,9.5,16,9,0,25,6,64,0,0,0,2019,Big 12,1,0
8,10/26/2019 0:00,Oklahoma,Away,Kansas State,L (41-48),L,41,48,19,27,70.4,395,1,26,102,3.9,3,53,497,9.4,12,5,1,18,5,51,1,1,2,2019,Big 12,0,1
9,11/9/2019 0:00,Oklahoma,Home,Iowa State,W (42-41),W,42,41,18,26,69.2,273,3,41,226,5.5,3,67,499,7.4,11,11,2,24,7,63,1,1,2,2019,Big 12,1,0
10,11/16/2019 0:00,Oklahoma,Away,Baylor,W (34-31),W,34,31,30,43,69.8,297,4,52,228,4.4,0,95,525,5.5,18,15,1,34,7,66,2,1,3,2019,Big 12,1,0
11,11/23/2019 0:00,Oklahoma,Home,TCU,W (28-24),W,28,24,11,21,52.4,145,2,64,366,5.7,2,85,511,6,9,21,0,30,5,51,2,1,3,2019,Big 12,1,0
12,11/30/2019 0:00,Oklahoma,Away,Oklahoma State,W (34-16),W,34,16,14,17,82.4,167,2,44,283,6.4,2,61,450,7.4,6,15,1,22,9,95,0,0,0,2019,Big 12,1,0
13,12/7/2019 0:00,Oklahoma,N,Baylor,W (30-23),W,30,23,17,24,70.8,287,1,50,146,2.9,2,74,433,5.9,11,9,1,21,6,50,1,1,2,2019,Big 12,1,0
14,12/28/2019 0:00,Oklahoma,N,Louisiana State*,L (28-63),L,28,63,16,34,47.1,225,0,28,97,3.5,4,62,322,5.2,9,5,2,16,8,62,0,1,1,2019,,0,1
1,9/12/2020 0:00,Oklahoma,Home,Missouri State,W (48-0),W,48,0,30,36,83.3,484,5,35,124,3.5,1,71,608,8.6,19,7,1,27,9,75,0,1,1,2020,,1,0
2,9/26/2020 0:00,Oklahoma,Home,Kansas State,L (35-38),L,35,38,30,41,73.2,387,4,35,130,3.7,1,76,517,6.8,17,8,3,28,10,75,1,3,4,2020,Big 12,0,1
3,10/3/2020 0:00,Oklahoma,Away,Iowa State,L (30-37),L,30,37,25,36,69.4,300,2,33,114,3.5,1,69,414,6,14,5,3,22,9,93,0,1,1,2020,Big 12,0,1
4,10/10/2020 0:00,Oklahoma,N,Texas,W (53-45),W,53,45,28,42,66.7,261,3,55,208,3.8,4,97,469,4.8,18,10,2,30,10,106,2,1,3,2020,Big 12,1,0
5,10/24/2020 0:00,Oklahoma,Away,TCU,W (33-14),W,33,14,13,22,59.1,332,2,45,166,3.7,1,67,498,7.4,10,11,2,23,7,65,0,0,0,2020,Big 12,1,0
6,10/31/2020 0:00,Oklahoma,Away,Texas Tech,W (62-28),W,62,28,27,38,71.1,346,2,39,213,5.5,6,77,559,7.3,16,9,4,29,2,15,0,0,0,2020,Big 12,1,0
7,11/7/2020 0:00,Oklahoma,Home,Kansas,W (62-9),W,62,9,22,36,61.1,340,2,31,200,6.5,6,67,540,8.1,17,13,1,31,5,45,1,1,2,2020,Big 12,1,0
8,11/21/2020 0:00,Oklahoma,Home,Oklahoma State,W (41-13),W,41,13,17,24,70.8,301,4,44,191,4.3,1,68,492,7.2,12,9,2,23,7,87,0,0,0,2020,Big 12,1,0
9,12/5/2020 0:00,Oklahoma,Home,Baylor,W (27-14),W,27,14,20,28,71.4,193,2,31,76,2.5,1,59,269,4.6,11,3,2,16,8,62,0,1,1,2020,Big 12,1,0
10,12/19/2020 0:00,Oklahoma,N,Iowa State,W (27-21),W,27,21,22,34,64.7,272,1,31,120,3.9,2,65,392,6,13,6,1,20,8,60,0,0,0,2020,Big 12,1,0
11,12/30/2020 0:00,Oklahoma,N,Florida*,W (55-20),W,55,20,15,25,60,249,3,40,435,10.9,3,65,684,10.5,9,15,1,25,4,40,2,0,2,2020,,1,0
1,9/4/2021 0:00,Oklahoma,Home,Tulane,W (40-35),W,40,35,31,40,77.5,314,1,32,122,3.8,3,72,436,6.1,15,7,2,24,7,50,0,2,2,2021,,1,0
2,9/11/2021 0:00,Oklahoma,Home,Western Carolina,W (76-0),W,76,0,27,38,71.1,347,5,38,277,7.3,5,76,624,8.2,17,12,2,31,6,61,0,0,0,2021,,1,0
3,9/18/2021 0:00,Oklahoma,Home,Nebraska,W (23-16),W,23,16,24,34,70.6,214,1,35,194,5.5,2,69,408,5.9,10,10,1,21,7,70,0,0,0,2021,,1,0
4,9/25/2021 0:00,Oklahoma,Home,West Virginia,W (16-13),W,16,13,26,36,72.2,256,1,28,57,2,0,64,313,4.9,13,4,2,19,4,35,0,1,1,2021,Big 12,1,0
5,10/2/2021 0:00,Oklahoma,Away,Kansas State,W (37-31),W,37,31,23,28,82.1,261,2,32,131,4.1,2,60,392,6.5,11,10,1,22,10,85,0,1,1,2021,Big 12,1,0
6,10/9/2021 0:00,Oklahoma,N,Texas,W (55-48),W,55,48,24,40,60,323,2,41,339,8.3,4,81,662,8.2,12,14,0,26,2,15,1,1,2,2021,Big 12,1,0
7,10/16/2021 0:00,Oklahoma,Home,TCU,W (52-31),W,52,31,18,23,78.3,295,4,35,230,6.6,3,58,525,9.1,11,10,4,25,3,15,1,0,1,2021,Big 12,1,0
8,10/23/2021 0:00,Oklahoma,Away,Kansas,W (35-23),W,35,23,15,20,75,178,2,34,220,6.5,3,54,398,7.4,8,9,1,18,10,65,0,1,1,2021,Big 12,1,0
9,10/30/2021 0:00,Oklahoma,Home,Texas Tech,W (52-21),W,52,21,28,35,80,469,7,20,72,3.6,0,55,541,9.8,24,1,1,26,5,60,0,0,0,2021,Big 12,1,0
10,11/13/2021 0:00,Oklahoma,Away,Baylor,L (14-27),L,14,27,13,24,54.2,178,0,29,82,2.8,2,53,260,4.9,9,5,3,17,9,86,0,2,2,2021,Big 12,0,1
11,11/20/2021 0:00,Oklahoma,Home,Iowa State,W (28-21),W,28,21,9,19,47.4,96,1,34,209,6.1,2,53,305,5.8,5,9,1,15,4,42,0,1,1,2021,Big 12,1,0
12,11/27/2021 0:00,Oklahoma,Away,Oklahoma State,L (33-37),L,33,37,20,39,51.3,252,3,44,189,4.3,0,83,441,5.3,12,7,2,21,12,74,2,0,2,2021,Big 12,0,1
13,12/29/2021 0:00,Oklahoma,N,Oregon*,W (47-32),W,47,32,21,27,77.8,242,3,43,322,7.5,3,70,564,8.1,12,13,2,27,8,71,0,0,0,2021,,1,0
1,9/3/2022 0:00,Oklahoma,Home,UTEP,W (45-13),W,45,13,15,23,65.2,233,2,38,259,6.8,4,61,492,8.1,7,14,2,23,7,59,0,0,0,2022,,1,0
