Rk,Date,Team,H/A,Opponent,Result,Win/Loss,Team Points,Opponent Points,Passing_Cmp,Passing_Att,Passing_Pct,Passing_Yds,Passing_TD,Rushing_Att,Rushing_Yds,Rushing_Avg,Rushing_TD,Total Offense_Plays,Total Offense_Yds,Total Offense_Avg,First Downs_Pass,First Downs_Rush,First Downs_Pen,First Downs_Tot,Penalties_No.,Penalties_Yds,Turnovers_Fum,Turnovers_Int,Turnovers_Tot,Season,Custom,WINS,Losses
3,9/14/2019 0:00,Texas Tech,Away,Arizona,L (14-28),L,14,28,30,55,54.5,307,1,25,104,4.2,1,80,411,5.1,15,7,0,22,7,60,0,2,2,2019,,0,1
4,9/28/2019 0:00,Texas Tech,Away,Oklahoma,L (16-55),L,16,55,12,26,46.2,122,0,37,192,5.2,1,63,314,5,5,6,5,16,8,65,1,0,1,2019,Big 12,0,1
5,10/5/2019 0:00,Texas Tech,Home,Oklahoma State,W (45-35),W,45,35,26,44,59.1,424,4,35,162,4.6,1,79,586,7.4,18,8,3,29,7,70,0,0,0,2019,Big 12,1,0
6,10/12/2019 0:00,Texas Tech,Away,Baylor,L (30-33),L,30,33,31,42,73.8,362,1,43,148,3.4,2,85,510,6,15,9,2,26,8,67,1,2,3,2019,Big 12,0,1
7,10/19/2019 0:00,Texas Tech,Home,Iowa State,L (24-34),L,24,34,40,52,76.9,239,1,34,168,4.9,2,86,407,4.7,12,11,2,25,6,60,0,0,0,2019,Big 12,0,1
8,10/26/2019 0:00,Texas Tech,Away,Kansas,L (34-37),L,34,37,23,34,67.6,271,3,45,212,4.7,1,79,483,6.1,11,12,5,28,8,69,1,0,1,2019,Big 12,0,1
9,11/9/2019 0:00,Texas Tech,Away,West Virginia,W (38-17),W,38,17,24,34,70.6,354,1,42,127,3,4,76,481,6.3,15,6,1,22,6,55,0,0,0,2019,Big 12,1,0
10,11/16/2019 0:00,Texas Tech,Home,TCU,L (31-33),L,31,33,19,33,57.6,333,4,18,69,3.8,0,51,402,7.9,10,5,1,16,5,46,1,1,2,2019,Big 12,0,1
11,11/23/2019 0:00,Texas Tech,Home,Kansas State,L (27-30),L,27,30,29,50,58,368,2,31,144,4.6,1,81,512,6.3,16,10,0,26,8,92,0,2,2,2019,Big 12,0,1
12,11/29/2019 0:00,Texas Tech,Away,Texas,L (24-49),L,24,49,36,58,62.1,399,2,24,71,3,1,82,470,5.7,20,4,2,26,4,32,2,0,2,2019,Big 12,0,1
1,9/12/2020 0:00,Texas Tech,Home,Houston Christian,W (35-33),W,35,33,38,52,73.1,430,2,43,194,4.5,3,95,624,6.6,22,12,1,35,13,104,0,1,1,2020,,1,0
2,9/26/2020 0:00,Texas Tech,Home,Texas,L (56-63),L,56,63,31,52,59.6,331,5,23,116,5,2,75,447,6,16,5,3,24,4,15,0,3,3,2020,Big 12,0,1
3,10/3/2020 0:00,Texas Tech,Away,Kansas State,L (21-31),L,21,31,34,49,69.4,267,2,34,204,6,1,83,471,5.7,13,13,1,27,6,71,0,1,1,2020,Big 12,0,1
4,10/10/2020 0:00,Texas Tech,Away,Iowa State,L (15-31),L,15,31,23,34,67.6,212,1,22,58,2.6,0,56,270,4.8,11,3,1,15,4,33,0,0,0,2020,Big 12,0,1
5,10/24/2020 0:00,Texas Tech,Home,West Virginia,W (34-27),W,34,27,22,28,78.6,169,1,39,179,4.6,3,67,348,5.2,8,7,3,18,3,19,1,0,1,2020,Big 12,1,0
6,10/31/2020 0:00,Texas Tech,Home,Oklahoma,L (28-62),L,28,62,19,32,59.4,266,2,29,134,4.6,2,61,400,6.6,9,8,1,18,11,85,1,2,3,2020,Big 12,0,1
7,11/7/2020 0:00,Texas Tech,Away,TCU,L (18-34),L,18,34,23,41,56.1,234,2,26,77,3,0,67,311,4.6,9,5,1,15,6,60,0,1,1,2020,Big 12,0,1
8,11/14/2020 0:00,Texas Tech,Home,Baylor,W (24-23),W,24,23,23,38,60.5,257,0,39,124,3.2,2,77,381,4.9,11,7,1,19,6,50,1,1,2,2020,Big 12,1,0
9,11/28/2020 0:00,Texas Tech,Away,Oklahoma State,L (44-50),L,44,50,31,46,67.4,384,3,38,255,6.7,3,84,639,7.6,15,11,0,26,7,60,2,1,3,2020,Big 12,0,1
10,12/5/2020 0:00,Texas Tech,Home,Kansas,W (16-13),W,16,13,15,26,57.7,117,0,43,293,6.8,1,69,410,5.9,4,11,2,17,7,80,3,1,4,2020,Big 12,1,0
